Powtorzenia: 
Name IDC_ZLEC_CREATE                       	ID: 27130-2
Name IDC_TPCD_OTCC                         	ID: 27131-2
Name IDC_KRECHA_USTAWIENIA                 	ID: 27131-2
Name IDC_TPCD_DBIT                         	ID: 27132-2
Name IDC_TPCD_OTCG                         	ID: 27133-2
Name IDC_KRECHA_TOWAR                      	ID: 27133-2
Name IDC_TPCD_TOHB                         	ID: 27134-2
Name IDC_KRECHA_TECHNOLOGIA                	ID: 27134-2
Name IDC_KRECHA_ZLEC                       	ID: 27135-2
Name IDC_KRECHA_DOL                        	ID: 27136-2
Name IDC_UST_PLIK                          	ID: 27137-2
Name IDC_STATIC_TOW                        	ID: 27138-2
Name IDC_TOW_AKTUALIZACJA                  	ID: 27139-2
Name IDC_ZLEC_KKW                          	ID: 27140-2
Name IDC_STATIC_DATA                       	ID: 27141-2
Name IDC_STATIC_DATA2                      	ID: 27142-2
Name IDC_SCHENKER_KLIENT_DATA_SPEC         	ID: 27142-2
Name IDC_DHL_KUR_PLUS_H2                   	ID: 1008-1
Name IDC_EMAIL                             	ID: 1017-1
Name IDC_ENCODING2                         	ID: 1027-1
Name IDC_UST_MV                            	ID: 1027-1
Name IDC_EXP_EDICA                         	ID: 1032-1
Name IDC_TECH_GRUPA2                       	ID: 1032-1
Name IDC_EXP_EHURTOWNIA                    	ID: 1034-1
Name IDC_EXP_SUBIEKTEPP                    	ID: 1035-1
Name IDC_EXP_VENDO                         	ID: 1036-1
Name IDC_EXP_PCMARKET                      	ID: 1037-1
Name IDC_EXP_KAMSOFT                       	ID: 1038-1
Name IDC_EX_CENNIK2                        	ID: 1038-1
Name IDC_EXP_SAMSUNG_N                     	ID: 1040-1
Name IDC_EXP_COMARCHEDITIM_N               	ID: 1041-1
Name IDC_EXP_EDICA_DUPL                    	ID: 1042-1
Name IDC_C_UWZGLEDNIJ_NOWE                 	ID: 2066-1
Name IDC_TEL_STVAT_                        	ID: 3742-1
Name IDC_EXP_CONRADSAP                     	ID: 27034-1
Name IDC_EXP_HUZAR_DBF                     	ID: 27037-1
Name IDC_EXP_HUZAR_ISTAT                   	ID: 27038-1
Name IDC_UST_GR_I                          	ID: 27098-1
Name IDC_UST_GR_II                         	ID: 27100-1
Name IDC_UST_GR_WWW                        	ID: 27101-1
Name IDC_UST_GRUPA_I                       	ID: 27103-1
Name IDC_UST_GRUPA_II                      	ID: 27104-1
Name IDC_UST_GRUPA_WWW                     	ID: 27105-1
Name IDC_RADIO1                            	ID: 27108-1
Name IDC_R_DZIS                            	ID: 27108-1
Name IDC_RADIO2                            	ID: 27109-1
Name IDC_COMBO1                            	ID: 27116-1
Name IDC_EDIT1                             	ID: 27118-1
Name IDC_R_JUTRO                           	ID: 27119-1
Name IDC_CERTYFIKATB                       	ID: 27126-1
Name IDC_SKLADCERT                         	ID: 27127-1
Name IDC_CERTYFIKATB2                      	ID: 27128-1
Name IDC_SKLADCERTB                        	ID: 27128-1
Name IDC_CHECK7                            	ID: 27133-1
Name IDC_KRECHA_KKW                        	ID: 27135-1
Wolne numery: 
Name _APS_NEXT_RESOURCE_VALUE              	ID: 1480-0
Name _APS_NEXT_COMMAND_VALUE               	ID: 32771-0
Name _APS_NEXT_CONTROL_VALUE               	ID: 27144-0
Name _APS_NEXT_SYMED_VALUE                 	ID: 27131-0
